CLV,Policy Type,State,Coverage,Number of Policies
2263.2847,0,2,0,1
2265.3186,8,0,0,1
2267.604,4,0,0,1
2269.841,8,0,0,1
2272.3074,0,0,0,1
2272.3354,5,3,0,1
2272.4473,4,3,0,1
2273.6206,6,1,0,1
2274.647,0,2,0,1
2274.6694,7,2,0,1
2274.7754,4,1,0,1
2275.364,8,1,0,1
2275.4016,4,2,0,1
2276.3928,8,2,0,1
2279.6968,6,2,0,1
2279.747,4,3,0,1
2280.387,4,3,0,1
2287.597,0,0,0,1
2287.9172,4,2,0,1
2288.7634,8,0,0,1
2289.6187,8,2,0,1
2290.6812,8,0,0,1
2292.792,8,0,0,1
2294.3037,8,0,0,1
2294.479,4,3,0,1
2298.3792,1,2,0,1
2300.3347,0,0,0,1
2300.6917,8,1,0,1
2300.6917,0,2,0,1
2300.6917,6,0,0,1
2300.6917,8,2,0,1
2300.6917,8,2,0,1
2300.6917,8,3,0,1
2302.8188,7,0,0,1
2305.0562,3,2,0,1
2305.2383,0,1,0,1
2306.4277,1,1,0,1
2308.4722,0,3,0,1
2308.648,4,3,0,1
2308.6926,8,0,0,1
2309.5964,4,0,0,1
2309.8767,8,0,0,1
2310.883,8,1,0,1
2311.1184,4,0,0,1
2311.2112,0,1,0,1
2311.382,7,2,0,1
2312.3286,8,0,0,1
2315.095,0,2,0,1
2316.7961,4,2,0,1
2317.282,7,2,0,1
2319.7358,6,2,0,1
2319.8186,4,0,0,1
2320.5168,8,0,0,1
2320.7505,6,3,0,1
2321.0525,6,2,0,1
2321.8838,8,1,0,1
2322.5725,0,1,0,1
2325.2595,8,2,0,1
2326.8647,8,0,0,1
2329.459,8,4,0,1
2331.3252,8,2,0,1
2332.0952,1,0,0,1
2333.6094,4,1,0,1
2335.8782,4,2,0,1
2336.1772,3,2,0,1
2336.2866,0,0,0,1
2337.3518,6,2,0,1
2337.3567,0,2,0,1
2342.014,7,3,0,1
2344.2332,4,0,0,1
2345.0845,8,0,0,1
2345.1296,8,2,0,1
2345.2622,8,3,0,1
2346.6753,6,4,0,1
2347.048,6,0,0,1
2347.5918,8,3,0,1
2348.0288,8,2,0,1
2349.9573,3,2,0,1
2351.8787,8,1,0,1
2352.368,7,3,0,1
2353.1792,8,2,0,1
2354.3223,5,3,0,1
2354.4958,8,2,0,1
2355.2815,8,2,0,1
2356.075,8,2,0,1
2356.7024,4,3,0,1
2357.5032,8,3,0,1
2357.747,8,0,0,1
2357.8015,8,0,0,1
2359.4236,4,3,0,1
2359.4236,0,3,0,1
2359.4236,4,2,0,1
2359.4236,8,4,0,1
2359.4236,8,4,0,1
2359.4236,4,0,0,1
2360.6018,0,2,0,1
2361.7422,8,3,0,1
2361.8838,4,0,0,1
2363.296,6,0,0,1
2364.4316,1,2,0,1
2365.3486,5,1,0,1
2369.1116,7,3,0,1
2369.3694,4,3,0,1
2369.439,4,0,0,1
2370.619,6,3,0,1
2372.1555,0,4,0,1
2372.2893,8,2,0,1
2373.7952,7,2,0,1
2374.1475,4,3,0,1
2374.7988,4,2,0,1
2374.809,0,0,0,1
2375.0017,6,1,0,1
2376.5334,6,0,2,1
2378.0906,8,2,0,1
2378.6672,4,0,0,1
2379.1958,8,3,0,1
2379.6143,2,3,0,1
2379.7412,8,4,0,1
2379.826,4,3,0,1
2381.7908,8,0,0,1
2382.6729,6,3,0,1
2382.706,7,1,0,1
2383.732,3,0,0,1
2386.2012,7,2,0,1
2387.606,8,2,0,1
2387.8584,8,0,0,1
2388.354,6,3,0,1
2388.9492,4,2,0,1
2389.31,8,3,0,1
2389.7742,4,4,0,1
2389.981,8,0,0,1
2392.108,7,0,0,1
2392.131,0,0,0,1
2393.0364,6,3,0,1
2393.117,4,0,0,1
2393.8135,4,3,0,1
2393.9153,6,0,0,1
2393.9153,8,0,0,1
2393.9153,4,0,0,1
2393.9153,4,1,0,1
2393.9153,6,2,0,1
2393.9153,8,2,0,1
2395.57,8,0,0,1
2395.57,6,2,0,1
2395.57,8,2,0,1
2395.57,8,2,0,1
2395.57,6,0,0,1
2395.57,8,3,0,1
2395.9685,8,3,0,1
2396.1924,0,1,0,1
2396.2192,1,0,0,1
2396.2192,8,4,0,1
2396.2192,8,0,0,1
2396.2192,1,0,0,1
2396.2192,0,0,0,1
2396.2192,0,3,0,1
2396.6724,4,4,0,1
2397.0361,0,0,0,1
2397.0361,0,0,0,1
2397.0361,3,3,0,1
2397.0361,6,3,0,1
2397.0361,4,0,0,1
2397.0361,6,0,0,1
2397.5366,8,2,0,1
2398.3333,8,2,0,1
2398.3542,4,2,0,1
2398.74,8,3,0,1
2399.0454,6,2,0,1
2399.1782,8,3,0,1
2402.172,4,3,0,1
2402.3333,8,1,0,1
2402.816,7,4,0,1
2403.5396,4,2,0,1
2404.3809,8,0,0,1
2404.4595,0,0,0,1
2404.6338,8,3,0,1
2404.918,8,2,0,1
2405.619,8,0,0,1
2409.0032,4,0,0,1
2409.3684,4,0,0,1
2409.7007,4,0,0,1
2409.761,8,3,0,1
2410.1052,4,3,0,1
2410.3557,4,1,0,1
2410.4985,0,0,0,1
2411.2566,6,3,0,1
2413.1396,6,0,0,1
2413.8884,4,2,0,1
2413.9307,8,0,0,1
2414.0725,8,0,0,1
2414.6384,8,1,0,1
2414.7708,6,3,0,1
2415.0637,8,3,0,1
2415.4155,0,2,0,1
2415.835,8,0,0,1
2416.4795,8,3,0,1
2416.5425,8,3,0,1
2417.76,4,0,0,1
2417.7632,7,0,0,1
2417.777,8,3,0,1
2419.3064,6,2,0,1
2420.712,0,0,0,1
2422.1946,0,3,0,1
2423.2598,8,4,0,1
2423.7556,8,0,0,1
2424.2246,8,0,0,1
2424.4246,4,2,0,1
2424.6907,6,0,0,1
2425.2952,0,0,0,1
2425.4949,8,2,0,1
2426.959,7,3,0,1
2427.7705,7,2,0,1
2429.2805,6,1,0,1
2429.3745,8,2,0,1
2429.6006,7,0,0,1
2430.4844,4,4,0,1
2430.5066,0,0,0,1
2430.8018,5,2,0,1
2430.8708,8,0,0,1
2430.959,8,3,0,1
2432.1692,8,2,0,1
2432.958,4,1,0,1
2433.0247,8,2,0,1
2433.0894,0,3,0,1
2433.2144,8,3,0,1
2433.9133,8,3,0,1
2434.005,8,3,0,1
2434.0857,4,0,0,1
2434.6812,0,0,0,1
2434.8494,4,1,0,1
2435.148,4,0,0,1
2435.2456,8,2,0,1
2435.3215,4,0,0,1
2435.536,7,0,0,1
2435.6199,8,4,0,1
2435.689,4,2,0,1
2436.006,7,0,0,1
2436.3977,6,3,0,1
2436.8394,8,3,0,1
2436.8752,6,2,0,1
2437.0845,8,0,0,1
2438.534,0,2,0,1
2438.6897,4,0,0,1
2439.931,4,2,0,1
2441.3943,8,0,0,1
2442.201,0,2,0,1
2442.2124,1,1,0,1
2442.2166,6,2,0,1
2442.422,8,3,0,1
2443.6653,5,1,0,1
2443.9258,4,0,0,1
2444.3296,8,2,0,1
2444.621,7,3,0,1
2444.7412,4,3,0,1
2444.8967,8,0,0,1
2445.8447,6,4,0,1
2446.6646,8,3,0,1
2446.6816,4,2,0,1
2446.9111,8,0,0,1
2447.0532,6,0,0,1
2448.6462,0,2,0,1
2448.7651,4,3,0,1
2448.8113,4,3,0,1
2448.8591,4,2,0,1
2449.1284,4,4,0,1
2449.3176,4,0,0,1
2449.58,0,0,0,1
2449.7896,1,0,0,1
2450.191,0,4,0,1
2450.6252,6,0,0,1
2450.8809,4,2,0,1
2451.536,4,2,0,1
2451.7527,6,2,0,1
2451.9888,8,0,0,1
2452.059,0,2,0,1
2452.3608,8,2,0,1
2452.4915,8,3,0,1
2452.7268,4,2,0,1
2452.7385,1,2,0,1
2452.9773,1,2,0,1
2453.3362,8,4,0,1
2453.4082,8,0,0,1
2453.5708,4,2,0,1
2453.5708,4,0,0,1
2453.5708,4,0,0,1
2453.5708,8,3,0,1
2453.5708,4,4,0,1
2453.5708,4,1,0,1
2454.3555,4,1,0,1
2454.5835,4,3,0,1
2454.5894,8,2,0,1
2456.8162,8,3,0,1
2456.8167,4,2,0,1
2457.441,8,2,0,1
2457.576,8,2,0,1
2458.448,6,3,0,1
2458.563,4,3,0,1
2458.746,8,2,0,1
2459.1716,8,1,0,1
2460.1675,4,0,0,1
2460.6653,6,0,0,1
2461.7979,0,0,0,1
2462.8599,6,0,0,1
2463.2368,7,2,0,1
2464.238,0,0,0,1
2464.5105,1,0,0,1
2464.7078,4,0,0,1
2465.4448,8,1,0,1
2465.6167,8,2,0,1
2466.3767,8,2,0,1
2466.5813,2,1,0,1
2467.13,8,2,0,1
2467.46,4,2,0,1
2467.6208,8,4,0,1
2467.978,7,1,0,1
2468.443,4,0,0,1
2469.0886,0,0,0,1
2469.569,8,2,0,1
2469.7812,4,0,0,1
2470.1213,6,2,0,1
2470.4412,4,3,0,1
2471.0776,4,2,0,1
2471.1453,8,0,0,1
2471.2788,8,0,0,1
2471.442,6,3,0,1
2471.5283,4,3,0,1
2471.5283,4,2,0,1
2471.5283,8,1,0,1
2471.5283,4,2,0,1
2471.5283,3,0,0,1
2471.5283,0,0,0,1
2472.2273,4,0,0,1
2472.254,4,1,0,1
2472.4692,8,2,0,1
2472.4692,4,2,0,1
2472.4692,8,2,0,1
2472.4692,6,2,0,1
2472.4692,4,2,0,1
2472.4692,4,0,0,1
2473.3682,4,3,0,1
2476.0464,8,3,0,1
2476.481,0,1,0,1
2476.5889,8,3,0,1
2477.7083,0,0,0,1
2478.1802,0,3,0,1
2478.2356,4,0,0,1
2478.5767,0,2,0,1
2478.8335,4,3,0,1
2479.9202,4,3,0,1
2480.046,7,1,0,1
2480.3928,6,0,0,1
2480.487,8,1,0,1
2480.5293,8,0,0,1
2481.8423,6,0,0,1
2482.1958,8,3,0,1
2482.3872,4,0,0,1
2482.412,8,2,0,1
2482.9155,4,2,0,1
2483.545,4,2,0,1
2483.6423,7,3,0,1
2483.6714,8,0,0,1
2484.7476,0,0,0,1
2485.1099,8,0,0,1
2485.8867,4,3,0,1
2486.065,7,3,0,1
2486.4285,0,0,0,1
2487.2563,4,3,0,1
2487.3582,0,0,0,1
2487.6494,8,0,0,1
2487.7297,4,1,0,1
2487.777,4,2,0,1
2488.2415,0,3,0,1
2489.1672,6,2,0,1
2489.338,6,4,0,1
2489.3875,6,0,0,1
2489.662,0,2,0,1
2489.7512,8,0,0,1
2491.2576,4,3,0,1
2491.2576,8,1,0,1
2491.2576,4,3,0,1
2491.2576,0,2,0,1
2491.2576,8,2,0,1
2491.2576,8,0,0,1
2491.3171,8,4,0,1
2491.3171,1,2,0,1
2491.3171,8,2,0,1
2491.3171,4,3,0,1
2491.3171,4,2,0,1
2491.3171,8,4,0,1
2493.5916,4,2,0,1
2494.8696,8,0,0,1
2495.4648,0,0,0,1
2496.1409,7,2,0,1
2496.167,6,3,0,1
2496.4763,6,2,0,1
2496.7666,0,0,0,1
2497.455,8,2,0,1
2497.5315,7,2,0,1
2497.5437,6,0,0,1
2497.808,4,1,0,1
2497.91,4,0,0,1
2498.3506,8,3,0,1
2498.9631,4,0,0,1
2499.0366,0,0,0,1
2499.4119,0,0,0,1
2499.47,1,0,0,1
2499.4988,4,1,0,1
2500.2417,8,3,0,1
2500.8345,6,2,0,1
2500.8374,8,3,0,1
2502.21,1,2,0,1
2502.6375,6,3,0,1
2503.603,8,0,0,1
2503.6604,4,0,0,1
2504.4448,4,3,0,1
2504.8718,8,3,0,1
2504.9075,8,1,0,1
2505.4204,8,2,0,1
2506.022,2,0,0,1
2506.1978,8,2,0,1
2506.264,0,2,0,1
2506.361,4,3,0,1
2507.4077,8,3,0,1
2507.8848,8,3,0,1
2509.108,8,4,0,1
2509.2686,8,0,0,1
2509.5088,8,3,0,1
2510.0542,1,2,0,1
2510.5938,8,3,0,1
2510.6333,0,0,0,1
2511.698,0,0,0,1
2511.944,8,4,0,1
2513.1172,8,1,0,1
2513.9712,8,1,0,1
2514.282,8,0,0,1
2514.4285,7,2,0,1
2514.592,0,4,0,1
2514.592,8,1,0,1
2514.592,4,0,0,1
2514.592,1,3,0,1
2514.592,0,1,0,1
2514.592,0,4,0,1
2515.259,8,2,0,1
2515.4114,8,3,0,1
2516.1035,8,3,0,1
2516.2136,4,0,0,1
2517.5337,8,3,0,1
2518.112,8,2,0,1
2518.7437,4,0,0,1
2519.5696,4,1,0,1
2519.919,4,2,0,1
2520.0283,8,0,0,1
2520.1233,1,2,0,1
2520.3013,8,2,0,1
2520.8186,0,0,0,1
2521.1611,8,2,0,1
2521.5557,3,2,0,1
2521.633,8,3,0,1
2521.6843,8,0,0,1
2522.2563,7,3,0,1
2522.4146,0,2,0,1
2523.07,8,4,0,1
2523.1711,6,3,0,1
2523.6548,6,0,0,1
2523.9595,8,0,0,1
2524.647,6,0,0,1
2525.4197,0,0,0,1
2526.729,8,0,0,1
2527.6538,0,2,0,1
2529.0774,8,3,0,1
2530.332,6,1,0,1
2530.6394,7,0,0,1
2530.705,5,0,0,1
2530.705,0,2,0,1
2530.705,8,4,0,1
2530.705,8,1,0,1
2530.705,4,2,0,1
2530.705,8,0,0,1
2530.81,5,3,0,1
2531.5867,1,4,0,1
2531.7397,8,4,0,1
2533.74,6,1,0,1
2533.7969,1,2,0,1
2534.3064,8,3,0,1
2534.947,4,2,0,1
2534.99,7,2,0,1
2535.2231,8,2,0,1
2535.2664,0,2,0,1
2535.3218,0,2,0,1
2536.8853,1,0,0,1
2537.3833,6,3,0,1
2537.6675,0,0,0,1
2537.7444,8,1,0,1
2537.814,4,0,0,1
2537.9294,8,2,0,1
2537.9692,4,0,0,1
2538.6262,0,2,0,1
2538.6262,0,2,0,1
2538.6262,3,0,0,1
2538.6262,4,4,0,1
2538.6262,8,1,0,1
2538.6262,0,0,0,1
2538.8572,5,0,0,1
2539.9907,4,3,0,1
2540.4077,5,3,0,1
2540.5515,4,4,0,1
2540.6897,8,1,0,1
2541.523,8,1,0,1
2541.524,4,0,0,1
2541.6277,8,2,0,1
2542.064,3,3,0,1
2542.8457,8,2,0,1
2543.004,8,0,0,1
2544.3376,0,0,0,1
2544.9697,8,0,0,1
2545.057,3,4,0,1
2545.0703,0,2,0,1
2545.2202,4,2,0,1
2545.5183,8,2,0,1
2546.3647,0,0,0,1
2546.8662,7,0,0,1
2547.3706,4,1,0,1
2548.3936,8,2,0,1
2548.5093,3,2,0,1
2548.8428,8,0,0,1
2549.0803,4,0,0,1
2549.45,0,4,2,1
2549.7861,4,1,0,1
2549.9985,0,3,0,1
2550.659,5,2,0,1
2551.2268,8,2,0,1
2551.2268,0,2,0,1
2551.2268,6,3,0,1
2551.2268,8,3,0,1
2551.2268,8,0,0,1
2551.2268,5,2,0,1
2551.314,7,0,0,1
2551.3494,6,2,0,1
2552.0007,8,3,0,1
2552.0388,0,2,0,1
2552.2263,4,0,0,1
2552.9138,6,2,0,1
2553.672,0,4,0,1
2554.032,1,3,0,1
2554.034,8,0,0,1
2554.1892,6,3,0,1
2554.4373,4,2,0,1
2554.5513,8,3,0,1
2555.0515,4,2,0,1
2555.5183,0,0,0,1
2555.5356,4,3,0,1
2555.8516,4,0,0,1
2556.6091,4,2,0,1
2556.6743,7,0,0,1
2557.0942,1,2,0,1
2557.5854,0,4,0,1
2558.1782,0,0,0,1
2558.763,0,4,0,1
2560.0825,6,1,0,1
2560.6914,8,0,0,1
2561.577,1,2,0,1
2562.6047,8,2,0,1
2562.844,7,3,0,1
2563.394,8,0,0,1
2563.5825,1,2,0,1
2563.8633,8,3,0,1
2565.1243,4,0,0,1
2566.3984,8,2,0,1
2566.7822,0,0,0,1
2566.868,8,4,0,1
2567.1514,1,4,0,1
2567.3467,0,0,0,1
2568.8435,8,4,0,1
2569.6924,0,2,0,1
2570.162,8,3,0,1
2570.191,4,0,0,1
2570.235,7,0,0,1
2570.4333,0,2,0,1
2570.7617,8,0,0,1
2571.2607,4,0,0,1
2572.4526,8,0,0,1
2572.5066,8,1,0,1
2573.7168,7,3,0,1
2574.0203,8,4,0,1
2574.0203,8,2,0,1
2574.0203,8,3,0,1
2574.0203,7,3,0,1
2574.0203,8,0,0,1
2574.0203,6,2,0,1
2574.1987,8,0,0,1
2575.3237,4,2,0,1
2576.3806,0,0,0,1
2576.4556,8,0,0,1
2576.513,6,1,0,1
2577.3196,8,3,0,1
2577.5146,8,1,0,1
2578.271,8,0,0,1
2578.8354,0,0,0,1
2580.8499,1,2,0,1
2580.8499,4,3,0,1
2580.8499,8,3,0,1
2580.8499,4,1,0,1
2580.8499,0,0,0,1
2580.8499,7,0,0,1
2581.022,8,2,0,1
2581.1108,4,0,0,1
2582.1853,6,0,0,1
2582.4084,3,3,0,1
2582.4084,8,2,0,1
2582.4084,8,0,0,1
2582.4084,4,0,0,1
2582.4084,4,0,0,1
2582.4084,8,0,0,1
2582.8623,0,1,0,1
2584.2039,8,1,0,1
2584.533,8,3,0,1
2584.8242,2,3,0,1
2585.2063,6,2,0,1
2585.4446,8,2,0,1
2585.56,4,4,0,1
2585.937,8,1,0,1
2585.9556,1,0,0,1
2586.8071,8,0,0,1
2587.108,7,2,0,1
2588.0803,8,0,0,1
2588.435,4,1,0,1
2588.86,4,3,0,1
2589.43,4,1,0,1
2589.695,8,2,0,1
2590.096,6,3,0,1
2590.2144,4,3,0,1
2590.3218,8,4,0,1
2590.654,8,3,0,1
2590.84,8,0,0,1
2591.7498,6,0,0,1
2592.4377,4,0,0,1
2592.4377,8,2,0,1
2592.4377,4,3,0,1
2592.4377,4,3,0,1
2592.4377,4,0,0,1
2592.4377,0,0,0,1
2592.8904,4,2,0,1
2592.9282,4,3,0,1
2593.3987,8,0,0,1
2593.8184,8,4,0,1
2593.898,6,1,0,1
2594.591,7,0,0,1
2594.7935,8,0,0,1
2594.8093,7,0,0,1
2594.906,0,0,0,1
2595.5588,8,0,0,1
2595.748,4,2,0,1
2595.8535,6,2,0,1
2596.1853,8,2,0,1
2597.864,1,3,0,1
2598.0613,1,3,0,1
2599.0415,4,2,0,1
2599.2896,8,2,0,1
2599.3108,0,2,0,1
2599.9685,4,2,0,1
2600.003,4,0,0,1
2600.2722,0,3,0,1
2600.641,4,2,0,1
2601.351,0,2,0,1
2601.4688,4,4,0,1
2601.811,8,4,0,1
2602.213,8,0,0,1
2602.2454,7,0,0,1
2602.651,0,0,0,1
2604.8472,1,2,0,1
2605.5708,4,0,0,1
2605.5996,8,3,0,1
2606.0454,0,4,0,1
2606.1863,4,4,0,1
2606.2085,8,2,0,1
2607.8154,2,1,0,1
2608.7864,6,4,0,1
2609.5332,8,0,0,1
2609.8296,0,3,0,1
2609.878,6,2,0,1
2610.3691,8,1,0,1
2611.128,8,0,0,1
2611.1487,8,2,0,1
2611.837,0,0,2,1
2611.9658,4,3,0,1
2612.5288,8,0,0,1
2612.7566,6,0,0,1
2613.0232,4,2,0,1
2614.4744,4,2,0,1
2615.1392,4,0,0,1
2615.3044,8,0,0,1
2615.852,8,1,0,1
2615.9119,6,0,0,1
2616.4094,8,0,0,1
2616.614,8,2,0,1
2616.614,5,1,0,1
2616.614,6,0,0,1
2616.614,8,4,0,1
2616.614,7,3,0,1
2616.614,6,2,0,1
2617.1826,6,0,0,1
2617.704,4,0,0,1
2618.3262,0,1,0,1
2618.8057,8,3,0,1
2619.027,0,0,0,1
2619.1724,2,0,0,1
2619.3374,3,2,0,1
2619.3374,8,0,0,1
2619.3374,8,2,0,1
2619.3374,8,2,0,1
2619.3374,0,3,0,1
2619.3374,1,0,0,1
2619.479,4,4,0,1
2619.8652,6,2,0,1
2620.167,8,3,0,1
2620.3923,4,0,0,1
2620.6018,4,0,0,1
2620.9038,4,3,0,1
2621.116,6,0,0,1
2621.8086,1,0,0,1
2623.3154,0,2,0,1
2624.0999,1,1,0,1
2624.897,4,1,0,1
2626.2795,4,0,0,1
2627.61,4,0,0,1
2627.7622,8,0,0,1
2627.8315,4,0,0,1
2628.1714,8,1,2,1
2628.4685,6,2,0,1
2628.563,8,0,0,1
2628.6575,6,2,0,1
2629.3154,1,2,0,1
2630.0093,0,3,2,1
2630.2134,6,3,0,1
2631.5642,8,3,0,1
2631.8774,8,0,0,1
2632.546,8,2,0,1
2632.5525,4,1,0,1
2633.0117,8,0,0,1
2635.1484,8,2,0,1
2635.5059,6,4,0,1
2636.9778,8,0,0,1
2637.1487,6,0,0,1
2637.6028,4,1,0,1
2637.9424,6,2,0,1
2638.1401,8,1,0,1
2639.6443,8,2,0,1
2639.9827,6,3,0,1
2640.3162,6,2,0,1
2640.489,4,0,0,1
2640.5159,8,2,0,1
2640.5874,8,2,0,1
2641.446,4,0,0,1
2642.9321,0,0,0,1
2643.7158,8,2,2,1
2644.6846,1,4,0,1
2644.9834,8,0,0,1
2646.5737,8,3,0,1
2647.204,1,0,0,1
2647.5198,8,4,0,1
2647.5198,1,1,0,1
2647.5198,8,2,0,1
2647.5198,4,2,0,1
2647.5198,7,2,0,1
2647.5198,4,2,0,1
2648.3503,4,0,0,1
2648.471,4,2,0,1
2649.2078,4,2,0,1
2649.6587,8,3,0,1
2650.6228,4,2,0,1
2651.616,8,2,0,1
2652.0618,0,4,0,1
2652.068,1,3,0,1
2652.2896,4,2,0,1
2652.6953,4,2,0,1
2654.381,4,1,0,1
2655.8645,7,2,0,1
2655.996,8,2,0,1
2656.5227,4,4,2,1
2656.7131,6,1,0,1
2656.8467,8,0,0,1
2656.9946,8,2,0,1
2657.5703,6,2,0,1
2658.2178,6,4,0,1
2659.338,4,1,0,1
2659.495,8,4,0,1
2659.7056,0,4,2,1
2659.7056,6,0,2,1
2659.7056,3,0,2,1
2659.7056,8,2,2,1
2659.7056,3,2,2,1
2659.7056,8,0,2,1
2659.9805,8,3,0,1
2660.0098,6,2,0,1
2660.9316,6,2,0,1
2661.0334,8,3,0,1
2661.7297,4,3,0,1
2661.8235,4,1,0,1
2664.243,0,0,0,1
2665.2224,6,4,0,1
2665.447,1,3,0,1
2665.737,6,2,0,1
2666.0544,6,3,0,1
2666.9768,8,1,0,1
2667.27,8,1,0,1
2668.6626,8,3,0,1
2668.7314,8,4,0,1
2670.636,4,0,0,1
2670.7979,1,0,0,1
2671.1667,4,0,0,1
2671.2957,4,3,0,1
2671.8176,7,3,0,1
2672.0957,1,2,0,1
2673.3196,8,3,0,1
2674.0754,8,4,0,1
2674.2273,4,0,0,1
2674.7307,4,0,0,1
2674.7307,7,2,0,1
2674.7307,3,0,0,1
2674.7307,0,1,0,1
2674.7307,4,3,0,1
2674.7307,7,4,0,1
2675.0295,4,0,0,1
2675.5698,8,4,0,1
2676.868,6,2,0,1
2676.9487,0,3,0,1
2677.2234,2,2,0,1
2677.2798,8,0,0,1
2677.4958,8,2,0,1
2678.0583,0,1,0,1
2678.4578,4,4,2,1
2679.6865,0,3,0,1
2680.9006,0,2,0,1
2681.332,4,1,0,1
2682.4238,6,2,0,1
2682.7048,6,0,0,1
2682.9124,0,2,0,1
2683.4707,7,0,0,1
2683.4927,7,0,0,1
2684.5815,8,0,0,1
2685.1777,4,0,0,1
2685.426,7,3,0,1
2685.7388,8,3,0,1
2685.9014,4,2,0,1
2686.5352,6,1,0,1
2687.3142,4,1,0,1
2688.8606,4,0,0,1
2688.864,8,0,0,1
2688.8787,8,0,0,1
2689.1685,4,3,0,1
2690.0698,6,0,0,1
2690.477,8,4,0,1
2690.782,7,4,0,1
2691.217,4,4,0,1
2691.3806,0,0,0,1
2691.5688,4,1,0,1
2691.597,8,0,0,1
2691.701,7,0,0,1
2692.0576,0,0,0,1
2693.5303,8,1,0,1
2693.607,4,2,0,1
2693.6636,4,3,0,1
2693.7593,8,2,0,1
2694.599,0,3,0,1
2695.1824,4,2,0,1
2695.3525,8,2,0,1
2695.4556,1,3,2,1
2695.9639,8,1,0,1
2697.3289,8,2,0,1
2698.0107,4,3,0,1
2698.0488,1,0,0,1
2698.3555,6,0,0,1
2698.6934,0,0,0,1
2700.6765,4,0,0,1
2700.9858,7,0,0,1
2701.0398,6,0,0,1
2701.4883,8,3,0,1
2702.3804,6,3,0,1
2702.6924,6,0,0,1
2703.2668,8,2,0,1
2703.4663,0,2,0,1
2704.537,4,0,0,1
2705.9875,6,1,2,1
2706.6062,4,4,0,1
2707.2085,8,2,0,1
2707.4294,6,2,0,1
2708.0193,8,0,0,1
2709.5398,8,2,0,1
2710.1206,8,0,0,1
2710.1494,6,4,0,1
2710.8115,0,3,0,1
2710.919,0,3,2,1
2711.9,6,1,0,1
2712.8328,0,2,0,1
2712.9155,8,2,0,1
2713.368,4,0,0,1
2713.5603,8,0,0,1
